order_id,products,basket_size
CA-2014-113320,"['Eldon Image Series Desk Accessories, Burgundy', 'Woodgrain Magazine Files by Perma', 'Longer-Life Soft White Bulbs']",3
CA-2014-113383,"['Kensington 6 Outlet Guardian Standard Surge Protector', 'Dana Fluorescent Magnifying Lamp, White, 36""']",2
CA-2014-113880,"['Novimex Swivel Fabric Task Chair', 'Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book']",2
CA-2014-113887,"['Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box']",1
CA-2014-114125,"['Avery 49', 'Wilson Jones Leather-Like Binders with DublLock Round Rings', 'Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H']",3
CA-2014-114181,"['Bestar Classic Bookcase', 'DIXON Ticonderoga Erasable Checking Pencils']",2
CA-2014-114195,"['Howard Miller 13"" Diameter Pewter Finish Round Wall Clock', 'Acco Economy Flexible Poly Round Ring Binder', 'GBC Standard Therm-A-Bind Covers']",3
CA-2014-114251,"['Tenex Antistatic Computer Chair Mats', 'Wilson Jones Legal Size Ring Binders', 'Tennsco Double-Tier Lockers', 'Sony 16GB Class 10 Micro SDHC R40 Memory Card', 'Memorex Micro Travel Drive 32 GB']",5
CA-2014-114314,"['Self-Adhesive Address Labels for Typewriters by Universal', 'Eldon Pizzaz Desk Accessories']",2
CA-2014-114790,"['Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote', 'Maxell DVD-RAM Discs', 'Panasonic KX-TG9471B', 'Xerox 198']",4
CA-2014-115056,['Belkin 6 Outlet Metallic Surge Strip'],1
CA-2014-115357,"['Maxell 74 Minute CD-R Spindle, 50/Pack']",1
CA-2014-115812,"['Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood', 'Newell 322', 'Mitel 5320 IP Phone VoIP phone', 'DXL Angle-View Binders with Locking Rings by Samsill', 'Belkin F5C206VTEL 6 Outlet Surge', 'Chromcraft Rectangular Conference Tables', 'Konftel 250 Conference\xa0phone\xa0- Charcoal black']",7
CA-2014-115889,"['AT&T CL82213', 'Adjustable Depth Letter/Legal Cart']",2
CA-2014-116239,['Sensible Storage WireTech Storage Systems'],1
CA-2014-116246,['HON 5400 Series Task Chairs for Big and Tall'],1
CA-2014-116666,['Hewlett Packard LaserJet 3310 Copier'],1
CA-2014-116834,"['DAX Cubicle Frames - 8x10', 'WD My Passport Ultra 1TB Portable External Hard Drive']",2
CA-2014-117016,"['BIC Brite Liner Highlighters, Chisel Tip']",1
CA-2014-117345,"['Self-Adhesive Address Labels for Typewriters by Universal', '9-3/4 Diameter Round Wall Clock', 'Honeywell Quietcare HEPA Air Cleaner', 'Xerox 1916']",4
CA-2014-117429,"['Seth Thomas 16"" Steel Case Clock']",1
CA-2014-117709,['Fellowes Binding Cases'],1
CA-2014-117765,"['KI Adjustable-Height Table', 'Avery Recycled Flexi-View Covers for Binding Systems', 'Padded Folding Chairs, Black, 4/Carton', 'Akro-Mils 12-Gallon Tote']",4
CA-2014-118962,"['Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6\x94 x 11\x94', 'Xerox 1913', 'Global Value Steno Chair, Gray']",3
CA-2014-119172,"['Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book', 'Avery Arch Ring Binders']",2
CA-2014-119529,['Avery Durable Binders'],1
CA-2014-119977,['Xerox 197'],1
CA-2014-120096,"['Xerox 194', 'Fellowes Mighty 8 Compact Surge Protector']",2
CA-2014-120278,"['Belkin 8 Outlet Surge Protector', 'Portable Personal File Box', 'X-Rack File for Hanging Folders', 'ACCOHIDE 3-Ring Binder, Blue, 1""']",4
CA-2014-120474,"['Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat', 'Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black']",2
CA-2014-120670,['Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset'],1
CA-2014-120775,"['Colored Push Pins', 'DAX Natural Wood-Tone Poster Frame', 'Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set', 'Avery Hidden Tab Dividers for Binding Systems', 'Sterling Rubber Bands by Alliance']",5
CA-2014-120950,"['Array Parchment Paper, Assorted Colors']",1
CA-2014-121006,"['Sanford Colorific Colored Pencils, 12/Box', 'Xerox 199', 'Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)', 'Hon Every-Day Series Multi-Task Chairs', 'Acco Perma 3000 Stacking Storage Drawers', 'Hot File 7-Pocket, Floor Stand']",6
CA-2014-121286,"['OIC Bulk Pack Metal Binder Clips', 'Acco 6 Outlet Guardian Premium Surge Suppressor']",2
CA-2014-121573,"['Panasonic KX-TG9471B', 'Surelock Post Binders', 'Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue']",3
CA-2014-121664,['Wilson Jones Legal Size Ring Binders'],1
CA-2014-121769,['Riverside Furniture Stanwyck Manor Table Series'],1
CA-2014-122609,"['GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack', 'Logitech G602 Wireless Gaming Mouse']",2
CA-2014-122749,['Jabra Supreme Plus Driver Edition\xa0Headset'],1
CA-2014-122882,"['Carina 42""Hx23 3/4""W Media Storage Unit', 'invisibleSHIELD by ZAGG Smudge-Free Screen Protector', 'DAX Natural Wood-Tone Poster Frame', 'StarTech.com 10/100 VDSL2 Ethernet Extender Kit']",4
CA-2014-123127,['Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210'],1
CA-2014-123225,"['Polycom VVX 310 VoIP phone', 'Xerox 200']",2
CA-2014-123323,['Wilson Jones Legal Size Ring Binders'],1
CA-2014-123400,"['Surelock Post Binders', 'AT&T 17929 Lendline Telephone']",2
CA-2014-123498,"['Satellite Sectional Post Binders', 'Staple envelope']",2
CA-2014-124023,"['Stacking Tray, Side-Loading, Legal, Smoke']",1
CA-2014-124478,"['Sharp 1540cs Digital Laser Copier', 'Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets', 'Globe Weis Peel & Seel First Class Envelopes', 'Nu-Dell Float Frame 11 x 14 1/2', 'Motorola Droid Maxx']",5
CA-2014-124618,['Brother DCP1000 Digital 3 in 1 Multifunction Machine'],1
CA-2014-124723,"['SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black']",1
CA-2014-124807,"['Xerox 1949', 'Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack']",2
CA-2014-125171,['Avery 514'],1
CA-2014-125542,"['Cameo Buff Policy Envelopes', 'Fellowes Bankers Box Recycled Super Stor/Drawer']",2
CA-2014-125612,"['Xerox 1884', 'Acme Box Cutter Scissors', 'Staple magnet']",3
CA-2014-125731,"['Peel & Seel Envelopes', 'GuestStacker Chair with Chrome Finish Legs']",2
CA-2014-125759,"['Master Caster Door Stop, Large Brown']",1
CA-2014-125829,"['Polycom SoundPoint Pro SE-225 Corded phone', 'Bevis Round Conference Table Top, X-Base', 'Cardinal EasyOpen D-Ring Binders', 'Xerox 2000', 'Hewlett-Packard Deskjet D4360 Printer']",5
CA-2014-126193,"['Acco Hot Clips Clips to Go', 'Avery Heavy-Duty EZD View Binder with Locking Rings', 'Ibico Hi-Tech Manual Binding System']",3
CA-2014-126361,"['Hoover WindTunnel Plus Canister Vacuum', 'Xerox 1934', 'Newell 329', 'Panasonic KX T7731-B Digital phone', 'Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black', 'Ibico Standard Transparent Covers']",6
CA-2014-126403,"['Xerox 1913', 'Global Italian Leather Office Chair', 'Advantus Motivational Note Cards', 'Tennsco 6- and 18-Compartment Lockers']",4
CA-2014-126522,"['BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain']",1
CA-2014-126907,['Southworth Parchment Paper & Envelopes'],1
CA-2014-127012,"['Eldon Image Series Desk Accessories, Ebony', 'Sanford 52201 APSCO Electric Pencil Sharpener', 'Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box']",3
CA-2014-127159,"['DAX Value U-Channel Document Frames, Easel Back']",1
CA-2014-127187,['Plantronics Voyager Pro HD - Bluetooth Headset'],1
CA-2014-127523,['Staple holder'],1
CA-2014-127614,"['Enermax Aurora Lite Keyboard', 'Hon 2111 Invitation Series Corner Table', 'Wilson Jones Leather-Like Binders with DublLock Round Rings']",3
CA-2014-127936,['SANFORD Major Accent Highlighters'],1
CA-2014-127964,"['PowerGen Dual USB Car Charger', 'Ibico Laser Imprintable Binding System Covers', 'Cardinal HOLDit! Binder Insert Strips,Extra Strips']",3
CA-2014-128524,"['Belkin F5C206VTEL 6 Outlet Surge', 'Belkin Standard 104 key USB Keyboard', 'Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind']",3
CA-2014-128538,"['#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes']",1
CA-2014-128839,"['Advantus Plastic Paper Clips', 'Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner']",2
CA-2014-128846,"['AT&T TR1909W', 'Xerox 1945']",2
CA-2014-128986,['White Computer Printout Paper by Universal'],1
CA-2014-129147,"['Polycom CX300 Desktop Phone USB VoIP phone', ""I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink"", 'Acco D-Ring Binder w/DublLock']",3
CA-2014-129364,"['Avery 499', 'Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""', 'Samsung HM1900 Bluetooth Headset', 'Acco Side-Punched Conventional Columnar Pads', 'SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card', 'Avery 492', 'Xerox 232', 'Adjustable Personal File Tote']",8
CA-2014-129924,"['Tuff Stuff Recycled Round Ring Binders', 'Hon 5100 Series Wood Tables']",2
CA-2014-130092,"['DAX Value U-Channel Document Frames, Easel Back']",1
CA-2014-130274,['Avery 481'],1
CA-2014-130421,['3.6 Cubic Foot Counter Height Office Refrigerator'],1
CA-2014-130449,"['Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood', 'Avery 516']",2
CA-2014-130813,['Xerox 225'],1
CA-2014-131002,"['Eldon Image Series Desk Accessories, Burgundy', 'GBC Laser Imprintable Binding System Covers, Desert Sand', 'Xerox 2000', '3M Polarizing Task Lamp with Clamp Arm, Light Gray', 'Plantronics Cordless\xa0Phone Headset\xa0with In-line Volume - M214C']",5
CA-2014-131009,"['Plymouth Boxed Rubber Bands by Plymouth', 'Harbour Creations Steel Folding Chair', 'DAX Black Cherry Wood-Tone Poster Frame', 'Fellowes Bankers Box Recycled Super Stor/Drawer']",4
CA-2014-131051,"['Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts']",1
CA-2014-131310,"['Safco Chair Connectors, 6/Carton', 'Self-Adhesive Ring Binder Labels']",2
CA-2014-131450,"['Fellowes Superior 10 Outlet Split Surge Protector', 'Sharp AL-1530CS Digital Copier', 'AT&T 1070 Corded Phone', 'Dana Halogen Swing-Arm Architect Lamp']",4
CA-2014-131527,"['BlueLounge Milo Smartphone Stand, White/Metallic']",1
CA-2014-131905,"['Avery 480', 'Aastra 57i VoIP phone', 'AT&T CL82213']",3
CA-2014-131926,"[""Global Deluxe High-Back Manager's Chair"", 'Safco Steel Mobile File Cart', 'Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book', ""Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room"", 'Xerox 205']",5
CA-2014-132227,"['Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""']",1
CA-2014-132500,['Logitech Wireless Touch Keyboard K400'],1
CA-2014-132542,['GBC VeloBinder Strips'],1
CA-2014-132612,['Bevis 44 x 96 Conference Tables'],1
CA-2014-132801,"['Fellowes Personal Hanging Folder Files, Navy']",1
CA-2014-132864,['Imation\xa032GB Pocket Pro USB 3.0\xa0Flash Drive\xa0- 32 GB - Black - 1 P ...'],1
CA-2014-133228,"['Advantus Panel Wall Acrylic Frame', 'Newell 319']",2
CA-2014-133270,['Sanford Liquid Accent Highlighters'],1
CA-2014-133305,"['Xerox 1881', 'Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders']",2
CA-2014-133634,['Maxell 4.7GB DVD-RW 3/Pack'],1
CA-2014-133690,"['BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables', 'Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack']",2
CA-2014-133753,"['Square Credit Card Reader', 'Logitech M510 Wireless Mouse', 'Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener']",3
CA-2014-133830,"['Prang Colored Pencils', 'Xerox 1933', 'Advantus Plastic Paper Clips']",3
CA-2014-133851,"['Staple remover', 'Deluxe Chalkboard Eraser Cleaner']",2
CA-2014-134215,"['Eureka The Boss Cordless Rechargeable Stick Vac', 'Southworth 25% Cotton Premium Laser Paper and Envelopes', 'Maxell 4.7GB DVD-R']",3
CA-2014-134278,['Canon Imageclass D680 Copier / Fax'],1
CA-2014-134313,"['Model L Table or Wall-Mount Pencil Sharpener', 'ClearOne CHATAttach 160 -\xa0speaker phone']",2
CA-2014-134677,['Imation\xa0USB 2.0 Swivel\xa0Flash Drive\xa0USB\xa0flash drive\xa0- 4 GB - Pink'],1
CA-2014-134726,"['Maxell 74 Minute CD-R Spindle, 50/Pack', 'Samsung Rugby III']",2
CA-2014-135405,"['Newell 312', 'Memorex Micro Travel Drive 8 GB']",2
CA-2014-135608,"['Xerox 1964', 'DMI Arturo Collection Mission-style Design Wood Chair']",2
CA-2014-135657,['KI Adjustable-Height Table'],1
CA-2014-135755,"['GBC Poly Designer Binding Covers', 'Avery Durable Plastic 1"" Binders']",2
CA-2014-136742,['Large Capacity Hanging Post Binders'],1
CA-2014-136861,['Telescoping Adjustable Floor Lamp'],1
CA-2014-137575,['Logitech G700s Rechargeable Gaming Mouse'],1
CA-2014-137589,['Compact Automatic Electric Letter Opener'],1
CA-2014-137911,"['Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box']",1
CA-2014-138128,"['Globe Weis Peel & Seel First Class Envelopes', 'Canon PC940 Copier']",2
CA-2014-138240,"['Boston Heavy-Duty Trimline Electric Pencil Sharpeners', 'iOttie HLCRIO102 Car Mount']",2
CA-2014-138296,['Recycled Eldon Regeneration Jumbo File'],1
CA-2014-138359,"['Rogers Profile Extra Capacity Storage Tub', 'Zipper Ring Binder Pockets']",2
CA-2014-138527,"['Xerox 220', 'Fellowes 8 Outlet Superior Workstation Surge Protector', 'SanDisk Cruzer 32 GB USB Flash Drive']",3
CA-2014-138709,"['Southworth Structures Collection', 'Zipper Ring Binder Pockets']",2
CA-2014-138737,['Newell 32'],1
CA-2014-138940,['Jawbone JAMBOX Wireless Bluetooth Speaker'],1
CA-2014-139017,['Logitech ClearChat Comfort/USB Headset H390'],1
CA-2014-139423,['Fellowes Superior 10 Outlet Split Surge Protector'],1
CA-2014-139451,"['Premium Writing Pencils, Soft, #2 by Central Association for the Blind', 'Sortfiler Multipurpose Personal File Organizer, Black']",2
CA-2014-139857,['Staples'],1
CA-2014-139892,"['BIC Brite Liner Highlighters', 'Lexmark MX611dhe Monochrome Laser Printer', 'Space Solutions HD Industrial Steel Shelving.', 'SAFCO Arco Folding Chair', 'Sanford Liquid Accent Highlighters', 'Kensington 7 Outlet MasterPiece Power Center', 'JBL Micro Wireless Portable Bluetooth Speaker']",7
CA-2014-140032,"['Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""']",1
CA-2014-140403,"['Global Deluxe Stacking Chair, Gray', '#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes']",2
CA-2014-140732,"['Mophie Juice Pack Helium for iPhone', 'Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags', 'Xerox 1979']",3
CA-2014-140795,['Enermax Aurora Lite Keyboard'],1
CA-2014-141299,['Security-Tint Envelopes'],1
CA-2014-141607,['Eldon Advantage Chair Mats for Low to Medium Pile Carpets'],1
CA-2014-141817,"['Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack']",1
CA-2014-141901,['Great White Multi-Use Recycled Paper (20Lb. and 84 Bright)'],1
CA-2014-142951,"['Maxell 74 Minute CDR, 10/Pack']",1
CA-2014-142979,['Prismacolor Color Pencil Set'],1
CA-2014-143210,"['Cisco IP\xa0Phone\xa07961G VoIP\xa0phone\xa0- Dark gray', 'Linden 10"" Round Wall Clock, Black', 'Ultra Door Push Plate']",3
CA-2014-144071,"['Luxo Economy Swing Arm Lamp', 'DAX Natural Wood-Tone Poster Frame']",2
CA-2014-144281,"['Dot Matrix Printer Tape Reel Labels, White, 5000/Box']",1
CA-2014-144407,['Alphabetical Labels for Top Tab Filing'],1
CA-2014-144666,"['SAFCO Boltless Steel Shelving', 'Sauder Mission Library with Doors, Fruitwood Finish', 'Samsung Galaxy Note 3', 'Decoflex Hanging Personal Folder File, Blue', 'Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""', 'Xerox 1912']",6
CA-2014-146283,"['Geographics Note Cards, Blank, White, 8 1/2"" x 11""', 'SAFCO Arco Folding Chair', 'Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate']",3
CA-2014-146731,"['Ampad Evidence Wirebond Steno Books, 6"" x 9""', 'Xerox 1884']",2
CA-2014-146815,"['Global Super Steno Chair', 'Nontoxic Chalk']",2
CA-2014-146990,"['Binder Clips by OIC', 'Riverleaf Stik-Withit Designer Note Cubes']",2
CA-2014-147543,['Global Comet Stacking Armless Chair'],1
CA-2014-147914,['Easy-staple paper'],1
CA-2014-148488,"['Adams Write n\' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages', 'Poly Designer Cover & Back']",2
CA-2014-148782,"['Logitech B530 USB\xa0Headset\xa0-\xa0headset\xa0- Full size, Binaural']",1
CA-2014-148915,"['Carina Mini System Audio Rack, Model AR050B', 'Plantronics Voyager Pro HD - Bluetooth Headset']",2
CA-2014-149020,"['Avery 482', 'Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock']",2
CA-2014-149104,"['Stanley Contemporary Battery Pencil Sharpeners', 'Fellowes Twister Kit, Gray/Clear, 3/pkg', 'Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set', 'Space Solutions HD Industrial Steel Shelving.']",4
CA-2014-149244,"['Executive Impressions 12"" Wall Clock']",1
CA-2014-149538,"['Safco Commercial Shelving', 'Logitech Wireless Marathon Mouse M705', 'Xerox 209', 'RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set']",4
CA-2014-150203,['Fellowes 8 Outlet Superior Workstation Surge Protector'],1
CA-2014-150301,"['Situations Contoured Folding Chairs, 4/Set']",1
CA-2014-150329,['Westinghouse Clip-On Gooseneck Lamps'],1
